Year,imdb,Title,clean_test,binary,budget,domgross,intgross,,
2011,tt1318514,Rise of the Planet of the Apes,No Talking between Women,FAIL,93000000,176760185,482860185,,
2011,tt1723811,Shame,No Talking between Women,FAIL,6500000,4002293,10781688,,
2011,tt0945513,Source Code,No Talking between Women,FAIL,32000000,54712227,140428499,,
2011,tt1385826,The Adjustment Bureau,Dubious,FAIL,50200000,62495645,127793502,,
2011,tt0983193,The Adventures of Tintin,No Talking between Women,FAIL,130000000,77591831,373993951,,
2011,tt1655442,The Artist,No Talking between Women,FAIL,16000000,44667095,128256712,,
2011,tt1259521,The Cabin in the Woods,Dubious,FAIL,30000000,42073277,70768144,,
2011,tt1568346,The Girl with the Dragon Tattoo,No Talking between Women,FAIL,90000000,102515793,233170238,,
2011,tt0990407,The Green Hornet,No Talking between Women,FAIL,110000000,98780042,227983150,,
2011,tt1540133,The Guard,No Talking between Women,FAIL,6000000,5359774,15944629,,
2011,tt1189340,The Lincoln Lawyer,No Talking between Women,FAIL,40000000,58009200,87145086,,
2011,tt0472399,The Mechanic,Less than Two Women,FAIL,42500000,29121498,76347393,,
2011,tt1204342,The Muppets,No Talking between Women,FAIL,45000000,88625922,160971922,,
2011,tt1161864,The Rite,Dubious,FAIL,37000000,33047633,96047633,,
2011,tt1509767,The Three Musketeers,Conversation About Men Only,FAIL,90000000,20377913,139877913,,
2011,tt0478304,The Tree of Life,Less than Two Women,FAIL,35000000,13305665,62305665,,
2011,tt1340800,Tinker Tailor Soldier Spy,No Talking between Women,FAIL,21000000,24149393,81452811,,
2011,tt0471042,Tower Heist,No Talking between Women,FAIL,85000000,78046570,153470352,,
2011,tt1568911,War Horse,No Talking between Women,FAIL,70000000,79883359,156815529,,
2011,tt1291584,Warrior,No Talking between Women,FAIL,25000000,13657115,24215385,,
2011,tt1389137,We Bought a Zoo,Conversation About Men Only,FAIL,50000000,75624550,118924550,,
2011,tt1714210,Weekend,No Talking between Women,FAIL,190000,484592,1577585,,
2011,tt1449283,Winnie the Pooh,Less than Two Women,FAIL,30000000,26692846,50145607,,
2010,tt1542344,127 Hours,Dubious,FAIL,18000000,18335230,60735230,,
